,Name,Actual_Postion,Predicted_Postion
9913,D. Sterling,RB,RB
9914,M. Antonucci,LW,RM
9915,F. Downes,CM,CM
9916,Z. Celar,ST,ST
9917,E. Vignato,CAM,CAM
9918,N. Thaller,CB,CB
9919,C. Cásseres Jr,CM,CM
9920,L. Mai,CB,CB
9921,Gabriel Brazão,GK,GK
9922,De la Fuente,CB,CB
9923,Bryan Gil,LW,RW
9924,M. Güçlü,ST,ST
9925,Eduardo Quaresma,CB,CB
9926,M. Carnesecchi,GK,GK
9927,N. Delgadillo,LM,LM
9928,F. Lobos,LM,RM
9929,V. Thill,CAM,CAM
9930,T. Alarcón,CDM,CDM
9931,J. Tanganga,CB,CB
9932,Álex Martín,CB,CB
9933,T. Basila,CB,CB
9934,I. Faraj,RW,CAM
9935,T. Campbell,ST,ST
9936,E. Pereyra,LB,RB
9937,I. Louza,CM,CM
9938,Álex Collado,CM,CM
9939,J. Schendelaar,GK,GK
9940,Jordi Escobar,ST,ST
9941,W. Pérez,LM,RM
9942,J. Shackleton,CM,CM
9943,B. Castrillon,RM,RM
9944,Y. Delfi,RW,LM
9945,J. Piroe,ST,ST
9946,E. Cömert,CB,CB
9947,M. Chouiar,LM,CAM
9948,R. Marchizza,CB,CB
9949,N. Schiappacasse,LM,LM
9950,R. Hack,LW,RW
9951,R. Schmid,CAM,CAM
9952,Javi Alonso,CM,CM
9953,D. Yearwood,CM,CM
9954,Berrocal,CB,CB
9955,Moreto Cassamá,CM,CM
9956,C. Rocchia,LB,RB
9957,S. Sosa,LM,CAM
9958,E. Pletinckx,CB,CB
9959,L. Orellano,LW,RM
9960,Hugo Vallejo,RM,CAM
9961,O. Lebedenko,LB,RB
9962,N. Boujellab,CAM,CAM
9963,Tomás Esteves,RB,LB
9964,Y. Tunç,ST,ST
9965,E. Restrepo,CB,CB
9966,W. Ponce,ST,ST
9967,B. Tabla,LW,CAM
9968,J. Chicco,CDM,CDM
9969,J. Asoro,ST,ST
9970,Jorge Cuenca,CB,CB
9971,Luis Perea,CM,CM
9972,H. Wright,ST,ST
9973,João Queirós,CB,CB
9974,Raul Asencio,ST,ST
9975,G. Koyalipou,RM,ST
9976,E. Hamilton,CM,CM
9977,A. Ba,CM,CM
9978,R. Faivre,CM,CM
9979,M. Wintzheimer,ST,ST
9980,M. Ruiz,CAM,CM
9981,Iago Oliveira,CDM,CB
9982,E. Sylvestre,RW,RW
9983,M. Oktay,CAM,CAM
9984,L. Laborda,CAM,CAM
9985,J. Markovič,GK,GK
9986,D. Iversen,GK,GK
9987,G. Felicioli,LB,LB
9988,J. Thorniley,CB,CB
9989,S. Ingelsson,CM,CM
9990,Park Han Bin,CM,CM
9991,I. Morales,RW,RM
9992,Álvaro,GK,GK
9993,Kim Jin Ya,LB,RM
9994,S. Lo Faso,CF,CAM
9995,A. Dreyer,RM,CAM
9996,F. Knudsen,CB,CB
9997,K. Nwakali,CAM,CAM
9998,Pedro Silva,GK,GK
9999,M. Tramoni,LM,CAM
10000,Erick,LW,RM
10001,D. Sorescu,RB,RB
10002,I. Gheorghe,LM,RM
10003,A. Grandi,GK,GK
10004,G. Thomas,CAM,CAM
10005,M. Samuelsen,RM,CAM
10006,M. Coppolaro,RB,CB
10007,T. Zhamaletdinov,ST,ST
10008,M. Kristensen,RW,LM
10009,J. Rhyner,CB,CB
10010,E. Bogado,RW,RM
10011,F. Alastra,GK,GK
10012,R. Macagno,GK,GK
10013,K. Davis,ST,ST
10014,S. Surridge,ST,ST
10015,V. Janelt,CM,CM
10016,A. Zaccagno,GK,GK
10017,A. Picchi,CM,CM
10018,Pedro Díaz,CAM,CAM
10019,P. Sontheimer,CM,CM
10020,A. Sabiri,LW,ST
10021,E. Massouema,CM,CDM
10022,A. Medina,CM,CM
10023,D. Oko,CB,CB
10024,Steven Prieto,ST,ST
10025,A. Dursun,LB,LB
10026,C. Giousis,CAM,CAM
10027,M. McKenzie,CB,CB
10028,J. van der Werff,CB,CB
10029,L. Adžić,LM,CAM
10030,F. Chabrolle,CAM,LM
10031,G. Guiffrey,CB,CB
10032,F. Krüger,ST,ST
10033,X. Emmers,CM,CM
10034,A. Kampetsis,ST,ST
10035,Iván Martos,LB,LB
10036,S. Dewaele,CM,CM
10037,A. Vlad,GK,GK
10038,A. Ueda,ST,ST
10039,João Ferreira,RB,LB
10040,F. Kent,CB,CB
10041,M. O'Leary,GK,GK
10042,D. Hyam,CB,CB
10043,José Carlos,CB,CB
10044,J. Vickers,GK,GK
10045,A. Gersbach,LB,LB
10046,C. Trueman,GK,GK
10047,Pastrana,LM,CAM
10048,I. Azzaoui,LM,LW
10049,H. Chapman,LM,CAM
10050,F. Reese,RM,LM
10051,P. Karlsson Lagemyr,CAM,CAM
10052,R. Nicolaisen,CB,CB
10053,Toni Robaina,CAM,CAM
10054,A. Mumin,CB,CB
10055,Javi Díaz,GK,GK
10056,C. Operi,LB,RB
10057,G. Gudmundsson,LM,RM
10058,J. Pérez,RW,LM
10059,Paik Seung Ho,CM,CM
10060,N. Bustos,RW,LM
10061,M. Sepúlveda,CM,CM
10062,O. Käuper,CM,CM
10063,D. Avounou,CM,CDM
10064,N. Bakboord,RB,RB
10065,S. Hughes,CB,CB
10066,F. Beltrán,CM,CM
10067,L. Rajot,CDM,LB
10068,J. Mejías,CB,CB
10069,Fran Manzanara,CDM,CDM
10070,S. Pinas,CB,CDM
10071,J. Varela,CB,CB
10072,M. Cavalleri,RW,LM
10073,I. Smith,RWB,RB
10074,D. Burgzorg,LM,RM
10075,L. Meisl,CB,CB
10076,M. Simakan,CB,CB
10077,J. Konings,ST,ST
10078,H. Gong,RM,RM
10079,A. Taoui,ST,ST
10080,A. Rizzo,LB,LB
10081,P. Bastianello,GK,GK
10082,C. Benavídez,CDM,CDM
10083,Samu Pérez,GK,GK
10084,S. Rhein,CDM,CDM
10085,K. Sekgota,RW,LM
10086,Miguel Tavares,LM,RM
10087,Seoane,CM,CM
10088,D. Olaru,CAM,CAM
10089,E. Mihaj,CB,CB
10090,E. Coacci,LW,LM
10091,Manu Fuster,CAM,CAM
10092,H. Adelakun,RM,RM
10093,B. Cargill,CB,CB
10094,Óscar Gil,CB,CB
10095,J. Bree,RB,RB
10096,L. Reed,CM,CM
10097,J. Thomasen,CM,CM
10098,J. Williams,CB,CB
10099,N. Castrillón,RB,RB
10100,G. Berthier,LM,CAM
10101,M. Vitale,CM,CM
10102,H. Anderson,RM,RM
10103,R. Lauritsen,CB,CB
10104,M. Vera,CDM,CDM
10105,M. Andersen,CB,CB
10106,S. Daham,CM,CM
10107,G. Melkadze,LM,CAM
10108,E. Valencia,LM,RM
10109,A. Acosta,RM,RM
10110,A. Piu,LW,ST
10111,A. Ndom,CDM,CM
10112,L. Amos,CM,CM
10113,Gao Zhunyi,CB,CB
10114,Isi Ros,LM,RM
10115,M. Leitsch,CB,CB
10116,K. Pestka,LB,RB
10117,M. Munetsi,CB,CB
10118,O. Rathbone,CM,CM
10119,I. Drešević,CB,CB
10120,R. González,RM,RB
10121,T. Conechny,ST,ST
10122,T. De Smet,LB,CB
10123,J. Pendant,LB,LB
10124,S. Demhasaj,ST,ST
10125,N. Manzambi,ST,ST
10126,T. Bijleveld,CM,CM
10127,Glauder,LB,RB
10128,Brian Martín,ST,ST
10129,J. Serrano,LB,LB
10130,J. Tell,ST,ST
10131,T. Knöll,ST,ST
10132,G. Risso Patrón,LB,RB
10133,M. García,ST,ST
10134,Igor,CB,CB
10135,S. Odey,ST,ST
10136,M. Ashimeru,CM,CM
10137,J. Sierra,CM,CM
10138,I. Marega,CDM,CB
10139,K. Ademi,ST,ST
10140,C. Ilić,LM,RB
10141,H. Ouro-Sama,CB,CB
10142,F. Carstens,CB,CB
10143,Cristian Rodríguez,CM,CM
10144,S. Méndez,CDM,CDM
10145,Avilés,RM,RM
10146,Moncayola,LM,LM
10147,F. Ștefan,LM,RM
10148,S. Drăghici,LW,RM
10149,D. Garcia,CAM,CAM
10150,Saúl Crespo,CM,CM
10151,I. Ndiaye,LM,RM
10152,L. Maniero,GK,GK
10153,J. Hanson,RB,CDM
10154,S. Londoño,GK,GK
10155,M. Harness,RM,LM
10156,F. Jagiełło,CM,CM
10157,M. Wdowiak,LM,RM
10158,D. Rodríguez,CM,CM
10159,M. Komenda,CB,RB
10160,S. Kroll,GK,GK
10161,N. Laursen,RM,LM
10162,A. Hunter,LM,CAM
10163,J. Lindsay,CM,CM
10164,E. Caicedo,CB,CB
10165,A. Hanche-Olsen,CB,CB
10166,B. Stevenson,CM,CM
10167,S. Aloi,CM,CM
10168,J. Ward,RM,RM
10169,M. Udol,LB,RB
10170,S. Humphrys,ST,ST
10171,F. Porath,LM,CAM
10172,M. Millar,RB,RM
10173,L. Vaca,ST,ST
10174,R. Williams,LW,LM
10175,J. Dacosta,RB,RB
10176,J. Riley,RB,LB
10177,N. Medvedev,GK,GK
10178,G. Fechner,CDM,CDM
10179,G. Hein,LM,CAM
10180,N. Landgraf,CB,LB
10181,M. Opondo,CM,CM
10182,Álex Craninx,GK,GK
10183,J. Bellegarde,CDM,CM
10184,N. Briasco,ST,ST
10185,L. Bergsma,CB,CB
10186,S. Olsson,CM,CM
10187,M. Paes,GK,GK
10188,Wellington,GK,GK
10189,J. Hayes,CDM,CM
10190,V. Retamal,RB,LB
10191,Fabio González,CDM,CDM
10192,N. Tenaglia,RB,LB
10193,N. Estévez,RM,CM
10194,Hu Jinghang,ST,ST
10195,A. Herrera,LB,LB
10196,N. Baumann,GK,GK
10197,A. Abeid,LB,LB
10198,D. Pereira,LM,LM
10199,B. Diaby,CB,RB
10200,S. Svarnas,CB,CB
10201,A. Pieper,CB,CB
10202,M. Loría,RM,CAM
10203,Z. Šarlija,CB,CB
10204,Vitor Caetano,GK,GK
10205,Raphael Aflalo,GK,GK
10206,F. Torres,CB,CB
10207,Riccieli,CB,CB
10208,C. Cauz,LB,LB
10209,J. Willis,CB,CB
10210,R. Yalçın,CDM,CM
10211,M. Desler,RB,RB
10212,I. Ssewankambo,RB,RB
10213,E. Andersson,CM,CM
10214,Héctor,ST,ST
10215,C. Elder,LB,RB
10216,M. Derrien,CB,CB
10217,G. Rea,CDM,CB
10218,B. Purrington,LB,RB
10219,M. Pepić,CM,CM
10220,N. Sonko Sundberg,CB,CB
10221,Aarón,GK,GK
10222,F. Di Mariano,LW,RM
10223,G. Wüthrich,CB,CB
10224,E. Smith,CDM,CM
10225,L. Chávez,CM,CM
10226,D. Ball,CDM,CDM
10227,L. Kinsella,CM,CDM
10228,F. Cristaldo,CDM,CM
10229,D. van Bruggen,CB,CDM
10230,F. Rawson,CB,CB
10231,T. Moore,RB,RB
10232,H. Matynia,LB,RB
10233,M. Cardona,CAM,CAM
10234,He Chao,CM,CDM
10235,Carlos Blanco,CB,CB
10236,T. Loska,GK,GK
10237,M. Latour,LW,RM
10238,G. Castrovilli,CM,CM
10239,J. Günther-Schmidt,ST,ST
10240,Sergio Buenacasa,ST,ST
10241,C. Colkett,CM,CM
10242,P. Jaquez,CB,CB
10243,B. Barry,CAM,RM
10244,R. Sweeney,CB,CB
10245,Clavería,CDM,CDM
10246,B. Karamoko,CB,CB
10247,E. Yao,CB,CB
10248,R. Amin,CM,CM
10249,G. Dulanto,CB,CB
10250,M. Caufriez,CB,CB
10251,J. Lelieveld,RB,RB
10252,D. Schad,RB,RB
10253,T. Nishimura,CF,ST
10254,L. Putaro,LW,ST
10255,M. Ali,CM,CM
10256,Asier Benito,ST,ST
10257,R. Moise,CM,CM
10258,E. Serje,CDM,CM
10259,M. Svensson,LM,RM
10260,C. Morra,ST,ST
10261,S. Ngezana,CB,CB
10262,Josema,CB,CB
10263,K. Ford,CB,CB
10264,H. Suárez,CDM,CM
10265,T. Dekker,RB,CB
10266,Guridi,CM,CM
10267,D. Volkmer,CB,CB
10268,M. Nzola,ST,ST
10269,S. Ahannach,LW,CAM
10270,W. Vorsager,CDM,CDM
10271,M. Costly,RM,RB
10272,R. Kapić,CM,CM
10273,D. Cornelius,CB,CB
10274,E. Karic,LB,RB
10275,C. Kühlwetter,ST,ST
10276,Y. Ibrahimaj,CM,CM
10277,M. Castro,RM,LM
10278,Ruan Teles,ST,CAM
10279,M. Diaby,CDM,CB
10280,R. Sánchez,CM,CM
10281,J. Graterol,GK,GK
10282,E. Lombardo,CAM,CAM
10283,D. Crnomarković,CB,CB
10284,Henrique Gomes,LB,RB
10285,S. Kersten,CB,CB
10286,B. El Mohamady,CB,RB
10287,R. Inniss,CB,CB
10288,M. Ingram,GK,GK
10289,B. Aloé,CB,CB
10290,A. Dźwigała,CB,CB
10291,B. Kwiecień,CDM,CDM
10292,C. Camps,CM,CM
10293,S. Goss,CM,CM
10294,J. Karlström,CM,CM
10295,S. Tarashaj,CAM,ST
10296,J. Hiwula,LW,ST
10297,H. McGahey,CB,CB
10298,A. Tahiri,CAM,RM
10299,E. O'Connell,CB,CB
10300,J. Hamilton,ST,ST
10301,V. Slivka,CM,CM
10302,T. James,RB,LB
10303,O. Kocuk,GK,GK
10304,L. Coyle,RB,RB
10305,A. Ciranni,RB,LB
10306,Marco,GK,GK
10307,I. Colman,CM,CM
10308,J. Pohl,ST,RM
10309,J. Palacios,CB,CB
10310,L. Klemenz,CB,CB
10311,Y. Rahmani,LM,LM
10312,Lucas Ahijado,RB,LB
10313,T. Agyepong,LM,LM
10314,M. Hilßner,RM,CAM
10315,E. Oelschlägel,GK,GK
10316,Isi,RM,RM
10317,Gonçalo Tavares,RB,RB
10318,G. Hamer,RB,CM
10319,S. Omeonga,CM,CM
10320,Seo Young Jae,LB,RB
10321,Na Sang Ho,ST,ST
10322,R. Scheu,RM,RM
10323,B. Kraev,CAM,CAM
10324,S. Ingolitsch,RB,LB
10325,Joca,CAM,CAM
10326,R. Taylor,RM,LM
10327,Lucas Marques,CDM,CDM
10328,N. Sessa,CAM,RM
10329,A. Romero,CM,CDM
10330,M. Kolar,ST,ST
10331,A. Lotti,ST,ST
10332,G. Lillard,CB,CB
10333,C. Krempicki,CM,CM
10334,Isma Cerro,RM,CAM
10335,F. Castro,RM,RM
10336,A. Abdu,ST,ST
10337,S. Gassama,ST,ST
10338,A. Traoré,LW,LW
10339,S. Hatanaka,CB,CB
10340,R. Hirose,RB,RB
10341,W. Togui,ST,ST
10342,A. Ivanov,CM,CAM
10343,I. Panțîru,LB,RB
10344,S. Weissman,ST,ST
10345,Mathiola,CAM,CAM
10346,G. Muzinga,LB,LB
10347,M. Angha,CB,LB
10348,A. Cairns,GK,GK
10349,J. Alnwick,GK,GK
10350,P. Camara,GK,GK
10351,H. Toffolo,LB,LB
10352,D. Cole,ST,ST
10353,J. Pigott,ST,ST
10354,C. Pym,GK,GK
10355,A. Al Hafith,CB,CB
10356,M. Sayouba,GK,GK
10357,B. Galloway,LB,CB
10358,B. Jopek,CM,CM
10359,C. Lykogiannis,LB,LB
10360,B. Smith,LB,RB
10361,F. Olinga,LM,LM
10362,S. O'Neill,CB,CDM
10363,D. Wein,CDM,CDM
10364,S. Mauk,CAM,CAM
10365,C. Fiore,LB,CB
10366,A. Al Ghamdi,RM,ST
10367,T. Lapslie,CDM,CDM
10368,M. Aaquist,CAM,LM
10369,D. Balanta,CB,CB
10370,N. Avellaneda,GK,GK
10371,R. Contreras,ST,ST
10372,B. Ndoye,CB,CB
10373,M. Goblet,GK,GK
10374,C. Tanner,RM,LM
10375,D. Hładun,GK,GK
10376,V. Sulejmani,ST,ST
10377,M. Lundemo,CM,CM
10378,Steven Pereira,CB,CB
10379,L. Jäger,CDM,CDM
10380,B. Youssouf,RB,LB
10381,T. Knoflach,GK,GK
10382,M. Osei Kwadwo,RM,LM
10383,T. Ebuehi,RB,RB
10384,D. Dos Santos,LM,RM
10385,F. Strauss,CB,CB
10386,Iván Calero,LM,RM
10387,A. Portales,CB,CB
10388,D. Baumann,ST,ST
10389,M. Quiñones,LB,RB
10390,S. Sprangler,CDM,CDM
10391,J. van der Lely,RB,RB
10392,V. Sanogo,ST,ST
10393,Adri Castellano,LB,RB
10394,João Nunes,RB,CB
10395,G. Rehak,GK,GK
10396,Jung Won Jin,CM,LM
10397,M. Nalepa,CM,CM
10398,R. Edwards,LM,RB
10399,M. Parra,CB,CB
10400,D. Graovac,CB,CB
10401,A. Crognale,CB,CB
10402,B. Bvuma,GK,GK
10403,F. Weber,CB,CB
10404,F. Hansch,ST,ST
10405,M. Kleinsorge,RM,RM
10406,S. Bösel,CM,CM
10407,M. Eisa,ST,ST
10408,M. Košťál,LM,RM
10409,Claudio,ST,ST
10410,G. Mainero,RW,RM
10411,E. Sosa,CAM,CAM
10412,Ricardo Friedrich,GK,GK
10413,D. Saddiki,CDM,CDM
10414,J. Donisa,ST,ST
10415,I. Rondanini,RB,RB
10416,Cadete,LB,RB
10417,A. Luković,CAM,CAM
10418,W. Clar,LB,RB
10419,Kaxe,CAM,CAM
10420,A. Abdi,LB,LB
10421,L. Koopmans,GK,GK
10422,M. Crooks,CM,CM
10423,J. Graham,LM,LM
10424,P. Perina,GK,GK
10425,M. Koch,CB,CB
10426,Jin Seong Wook,ST,ST
10427,A. Kamara,ST,ST
10428,L. Hägg-Johansson,GK,GK
10429,Higinio,ST,ST
10430,J. Wallens,GK,GK
10431,M. De Iriondo,CDM,CDM
10432,Iván Márquez,CB,CB
10433,A. Mastalli,CM,CM
10434,Guille Donoso,RM,CAM
10435,G. Lefebvre,CM,CM
10436,M. Hairston,RB,RB
10437,T. Thompson,RB,CM
10438,J. Hardeveld,CB,CB
10439,Lee Myung Jae,LB,RB
10440,A. Kasperkiewicz,CB,CB
10441,Zhao Yuhao,CDM,CDM
10442,Yoon Seung Won,LW,RM
10443,R. Kerschbaum,CDM,CDM
10444,Samuel Portugal,GK,GK
10445,M. Boben,CB,CB
10446,G. Amiot,CB,CB
10447,S. Bakış,ST,ST
10448,D. Bergqvist,CB,CB
10449,Z. Al Sahafi,CB,CB
10450,J. Campbell,CB,CB
10451,Mateus,LM,LM
10452,F. Ávila,CM,RB
10453,F. Luckeneder,CB,CB
10454,B. Moussiti-Oko,ST,ST
10455,P. Kun,LM,RM
10456,B. Hansen,CB,CB
10457,L. Argudo,LM,LM
10458,Marcelo Freitas,CM,CM
10459,P. Schmidt,ST,ST
10460,S. Moharrami,RB,RB
10461,Ricardo Rodrigues,ST,ST
10462,T. Puangchan,CM,CM
10463,O. Bic,CDM,CDM
10464,I. Biceanu,CM,CM
10465,D. Hočko,CM,CM
10466,Sergio Ruiz,CDM,CM
10467,J. Gaari,RB,RB
10468,M. Jamal,CDM,CDM
10469,E. Kardeşler,GK,GK
10470,Y. Sasman,LB,CB
10471,L. Madrigal,ST,ST
10472,R. Janicki,CB,CB
10473,A. Jug,GK,GK
10474,J. Clark,RM,LM
10475,D. Andrade,LWB,RB
10476,O. Norburn,CM,CM
10477,Z. Alomerović,GK,GK
10478,L. Verna,CM,CM
10479,A. Masi,CB,CB
10480,C. Burgess,CB,CB
10481,C. McFadzean,LWB,RB
10482,S. Tronstad,CM,CM
10483,S. Ohlsson,RB,CM
10484,Y. Otubanjo,ST,ST
10485,M. Preston,CB,CB
10486,A. Coly,RB,RB
10487,L. Rougeaux,RB,CB
10488,J. Becerra,CAM,CM
10489,H. Rivera,LM,CAM
10490,D. Murillo,RB,RB
10491,B. San Juan,CB,CB
10492,M. Bravo,LB,LB
10493,C. Palomeque,LM,RM
10494,K. Jackson,ST,ST
10495,F. Menig,RB,CB
10496,C. Laprevotte,CDM,CDM
10497,F. Kath,LM,RM
10498,J. Eickmayer,CDM,RB
10499,V. Vermeij,ST,ST
10500,G. De Feo,RW,CAM
10501,C. Mafla,LB,LB
10502,Luís Cortez,CAM,CAM
10503,O. Mfulu,CM,CDM
10504,S. Kind Mikalsen,LB,LB
10505,E. Miller,RB,RB
10506,A. Al Bishi,RM,RM
10507,S. Scougall,CM,CM
10508,G. Diaz,CB,CB
10509,S. Leuko,RB,RB
10510,B. Vécsei,CM,CM
10511,A. Jackson-Hamel,ST,ST
10512,Castro,ST,ST
10513,K. Shelton,ST,ST
10514,K. Anderson,CAM,ST
10515,M. Khubrani,CB,CB
10516,L. Grace,CB,CB
10517,T. Phete,CDM,CDM
10518,F. Tingager,CB,CB
10519,S. Ibeagha,CB,CB
10520,Rafa de Vicente,CM,CAM
10521,S. Skålevik,ST,ST
10522,A. Nedyalkov,LB,LB
10523,F. Gytkjær,ST,ST
10524,F. Margiotta,ST,ST
10525,A. Arroyo,ST,ST
10526,G. Iancu,LW,CAM
10527,F. Barceló,ST,ST
10528,H. Mancilla,CDM,CDM
10529,F. Flórez,CDM,CDM
10530,N. Hansen,RM,LM
10531,T. Inukai,CB,CB
10532,S. Mai,ST,ST
10533,J. Hernández,ST,ST
10534,J. Adebanjo,CDM,CDM
10535,L. Justiniano,CDM,CDM
10536,W. Semedo,LW,CAM
10537,A. Kubalas,CB,CB
10538,S. Condé,CB,CB
10539,Y. Suzuki,CB,CB
10540,M. Popescu,CB,CB
10541,U. Bonnet,ST,ST
10542,Lucas Xavier,LM,LM
10543,N. Pavan,CDM,CDM
10544,L. Garbutt,LB,LB
10545,O. Banks,CM,CM
10546,J. Kempin,GK,GK
10547,C. Winchester,CM,CM
10548,S. Calvano,CM,CM
10549,A. O'Connor,CB,CB
10550,J. Husband,LB,LB
10551,C. Dunne,CB,CB
10552,S. Gündüz,RM,LM
10553,E. Fryers,LB,LB
10554,M. Lampson,GK,GK
10555,P. Keita,CDM,CB
10556,Moon Chang Jin,CM,CAM
10557,R. Edwards,CB,CB
10558,M. Fox,LB,LB
10559,C. Lavery,ST,ST
10560,A. Winkler,CB,CB
10561,J. Mostasilla,CB,CB
10562,M. Jorquera,LB,LB
10563,J. Ávila,CB,CB
10564,Lei Tenglong,CB,CB
10565,M. Aramu,ST,LM
10566,M. Al Saiari,ST,ST
10567,Sim Sang Min,LB,RB
10568,Kim Yong Hwan,LB,RB
10569,Erivaldo,RM,LM
10570,F. David,CAM,CAM
10571,Bi Jinhao,CB,CB
10572,Ygor Nogueira,CB,CB
10573,S. Buș,ST,ST
10574,Jeong Hyun Cheol,CM,CM
10575,L. Görtler,CAM,ST
10576,S. van Wermeskerken,RB,LB
10577,A. Öztürk,CB,CB
10578,R. Gojani,CM,CM
10579,J. Ríos,CDM,CM
10580,J. Chabalala,CB,CB
10581,B. Kallman,CB,CB
10582,T. Arano,CM,CM
10583,Lim Chan Wool,RW,LM
10584,S. Jakubiak,CDM,CDM
10585,C. Tilt,CB,CB
10586,A. De Bruyn,LM,CAM
10587,M. Naamani,CB,CB
10588,K. Shirai,LM,LM
10589,A. Marc,CB,CB
10590,F. Oswald,GK,GK
10591,T. Petrášek,CB,CB
10592,M. Oxley,GK,GK
10593,J. González,LB,LB
10594,C. Main,ST,ST
10595,H. Akpan,CDM,CDM
10596,T. Konrad,CB,CB
10597,S. Jakobsen,CB,CB
10598,A. Wildig,CAM,CAM
10599,O. Beckles,CB,CB
10600,M. Cestor,CB,CB
10601,N. Çiftçi,ST,LM
10602,G. Allison,GK,GK
10603,M. Gollner,CB,CB
10604,C. Dikamona,CB,CB
10605,S. Galindo,CAM,CM
10606,C. Routis,CB,CB
10607,T. Eastman,CB,CB
10608,M. Hernandez,LB,RB
10609,G. Beretta,ST,ST
10610,Yi Teng,CB,CB
10611,J. Bendik,GK,GK
10612,E. Ebanks-Landell,CB,CB
10613,F. Ardizzone,CM,CM
10614,N. Mezquida,CAM,CAM
10615,J. Riley,RB,RB
10616,E. Harrison,ST,ST
10617,L. Isgrove,RM,RM
10618,P. Delecroix,GK,GK
10619,O. Cissé,CDM,CB
10620,N. Devlin,RB,RM
10621,J. Sternberg,LB,LB
10622,P. Breier,ST,ST
10623,J. Caprice,RB,RB
10624,S. Rodríguez,CM,CM
10625,P. Wiegers,GK,GK
10626,Bruno,GK,GK
10627,J. Phojo,RB,RB
10628,G. Dequaire,CB,CB
10629,P. Sané,ST,ST
10630,C. Irwin,GK,GK
10631,H. Gómez,RB,LB
10632,D. Diring,CM,CM
10633,M. Gouaida,LM,RM
10634,E. Pérez,ST,ST
10635,M. Blázquez,CB,CB
10636,D. González,CB,CB
10637,Luis Ruiz,LB,LB
10638,Peu,LM,LW
10639,M. Simonovski,ST,ST
10640,S. Abdul-Salaam,RB,CB
10641,A. Vita,RM,LM
10642,C. Jakobsen,LM,LM
10643,Pablo,RW,LM
10644,J. Hopcutt,CF,LM
10645,E. Ibargüen,ST,ST
10646,F. Herbers,RM,LM
10647,S. Inagaki,CM,CM
10648,J. Soto,RB,LB
10649,Y. Nogami,CB,CB
10650,O. Gnjatić,CDM,CDM
10651,A. Dej,CM,CM
10652,P. Sohm,ST,RM
10653,M. Dombrowka,LB,RB
10654,Néstor Albiach,CAM,CAM
10655,H. Delbridge,CB,CB
10656,K. Nakamura,LW,CAM
10657,F. Ourega,RM,RM
10658,S. Finley,CM,CM
10659,T. Ishihara,LM,RM
10660,H. Memolla,LB,RB
10661,R. Fuenzalida,RM,RM
10662,P. Bardy,CB,CB
10663,D. Stipica,GK,GK
10664,S. Nurković,ST,ST
10665,F. Kippe,CB,CB
10666,H. Opdal,GK,GK
10667,J. Bothroyd,ST,ST
10668,P. Brożek,ST,ST
10669,M. Langer,GK,GK
10670,L. Feeney,LM,RM
10671,A. Lonergan,GK,GK
10672,R. König,ST,ST
10673,S. Andersen,GK,GK
10674,R. Vitiello,CB,CB
10675,A. Butler,CB,CB
10676,A. Bunjaku,ST,ST
10677,S. Ağçay,CDM,CDM
10678,C. Frăsinescu,CB,CB
10679,S. Peszko,LM,RM
10680,A. Danielsen,CDM,CDM
10681,K. Arkivuo,LB,LB
10682,F. Mader,CM,CM
10683,S. Brown,GK,GK
10684,G. Zakuani,CB,CB
10685,O. Occéan,ST,ST
10686,M. Roman,RM,RM
10687,V. Demidov,CB,CB
10688,J. Szmatuła,GK,GK
10689,P. Nymann,RM,RB
10690,T. Černý,GK,GK
10691,M. Mills,CB,CB
10692,A. El-Abd,CB,CB
10693,A. Akinfenwa,ST,ST
10694,Y. Abe,CB,CDM
10695,I. Vázquez,GK,GK
10696,M. Hernández,GK,GK
10697,J. Mackie,ST,ST
10698,D. Edwards,CM,CM
10699,R. Gartler,ST,ST
10700,H. Drost,CB,CB
10701,C. Doyle,GK,GK
10702,M. Caranta,GK,GK
10703,S. Cox,ST,ST
10704,L. Varney,ST,ST
10705,F. Cosenza,CB,CB
10706,S. Darbion,LM,CM
10707,C. Morgan,CB,CB
10708,T. McMahon,RB,LB
10709,R. Boukari,ST,ST
10710,M. Done,LM,RM
10711,M. Al Shalhoub,CAM,CAM
10712,G. Karanović,ST,ST
10713,J. Martins Pereira,RB,LB
10714,M. O'Connor,CM,CM
10715,R. Griffiths,CDM,CDM
10716,C. Woods,RB,RB
10717,J. Grounds,LWB,CB
10718,G. Liddle,CB,CB
10719,J. Brown,LB,RB
10720,S. Gleeson,CDM,CM
10721,S. Golbourne,LB,RB
10722,G. Faivre,GK,GK
10723,E. Palos,GK,GK
10724,M. Yıldırım,CDM,CM
10725,D. Semenzato,RB,LB
10726,A. Lienhart,RB,LB
10727,Aitor,RB,RB
10728,R. Zelaya,ST,ST
10729,L. Stevenson,LB,CDM
10730,S. Luchin,CB,CB
10731,T. Röttger,ST,ST
10732,Z. Zlámal,GK,GK
10733,L. Figueroa,RM,CM
10734,F. Assmann,GK,GK
10735,A. Raineau,LB,LB
10736,E. Brambila,CM,CAM
10737,C. Gönen,GK,GK
10738,C. Kum,RB,RB
10739,D. Bassi,GK,GK
10740,A. Paolucci,CM,CM
10741,G. Sarmov,CM,CDM
10742,D. Worrall,RM,LM
10743,D. Perkins,CM,CM
10744,O. Bozanic,CM,CM
10745,Isidoro,RB,RB
